epoch,accuracy,loss,val_accuracy,val_loss
0,0.8945086598396301,0.34964048862457275,NA,NA
1,0.9512283205986023,0.2357759028673172,NA,NA
2,0.9700144529342651,0.19887858629226685,NA,NA
3,0.977601170539856,0.18211473524570465,NA,NA
4,0.9786849617958069,0.18031403422355652,NA,NA
5,0.9851878881454468,0.16842088103294373,NA,NA
6,0.986994206905365,0.1568823903799057,NA,NA
7,0.9880780577659607,0.15324288606643677,NA,NA
8,0.9880780577659607,0.15196289122104645,NA,NA
9,0.9862716794013977,0.15592581033706665,NA,NA
10,0.9949421882629395,0.14168034493923187,NA,NA
11,0.9909682273864746,0.14624300599098206,NA,NA
12,0.9945809245109558,0.14170612394809723,NA,NA
13,0.9949421882629395,0.14002181589603424,NA,NA
14,0.9898843765258789,0.15116667747497559,NA,NA
15,0.9945809245109558,0.1422520875930786,NA,NA
16,0.9934971332550049,0.1438920795917511,NA,NA
17,0.9967485666275024,0.13470105826854706,NA,NA
18,0.990606963634491,0.1475735902786255,NA,NA
19,0.9963873028755188,0.1371360868215561,NA,NA
20,1.0,0.1278001368045807,NA,NA
21,1.0,0.12729743123054504,NA,NA
22,0.9989162087440491,0.12904495000839233,NA,NA
23,0.9945809245109558,0.13704167306423187,NA,NA
24,0.9963873028755188,0.13393427431583405,NA,NA
25,0.9949421882629395,0.13659003376960754,NA,NA
26,0.9956647157669067,0.13519012928009033,NA,NA
27,0.9963873028755188,0.13097676634788513,NA,NA
