epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7199638485908508,0.0010000000474974513,0.5831170678138733,0.7201645970344543,0.5837610363960266
1,0.7985546588897705,0.0010000000474974513,0.5000542402267456,0.8148148059844971,0.48321208357810974
2,0.8355916738510132,0.0010000000474974513,0.4167049825191498,0.8271604776382446,0.4292783737182617
3,0.8428184390068054,0.0010000000474974513,0.38692882657051086,0.8312757015228271,0.40973711013793945
4,0.8477867841720581,0.0010000000474974513,0.37556061148643494,0.8333333134651184,0.3962380886077881
5,0.8495935201644897,0.0010000000474974513,0.37081387639045715,0.8353909254074097,0.39048218727111816
6,0.8504968285560608,0.0010000000474974513,0.3678302764892578,0.8374485373497009,0.38488349318504333
7,0.8509485125541687,0.0010000000474974513,0.36569127440452576,0.8353909254074097,0.3803693950176239
8,0.8523035049438477,0.0010000000474974513,0.3634210526943207,0.8374485373497009,0.37674281001091003
9,0.8509485125541687,0.0010000000474974513,0.3607107996940613,0.8395061492919922,0.3710689842700958
10,0.8523035049438477,0.0010000000474974513,0.358563095331192,0.8374485373497009,0.3709324896335602
11,0.8514001965522766,0.0010000000474974513,0.35658907890319824,0.8395061492919922,0.3679698407649994
12,0.8536585569381714,0.0010000000474974513,0.35431575775146484,0.8436213731765747,0.36594530940055847
13,0.8541101813316345,0.0010000000474974513,0.3521425127983093,0.8497942090034485,0.36364635825157166
14,0.8559169173240662,0.0010000000474974513,0.349672794342041,0.8518518805503845,0.3607851564884186
15,0.8572719097137451,0.0010000000474974513,0.34721797704696655,0.8539094924926758,0.35843756794929504
16,0.8581752777099609,0.0010000000474974513,0.34466156363487244,0.8539094924926758,0.35553261637687683
17,0.857723593711853,0.0010000000474974513,0.341843843460083,0.8539094924926758,0.352084755897522
18,0.8599819540977478,0.0010000000474974513,0.3387546241283417,0.8539094924926758,0.3483199179172516
19,0.8595302700996399,0.0010000000474974513,0.3352615237236023,0.855967104434967,0.34349051117897034
20,0.8599819540977478,0.0010000000474974513,0.3322529196739197,0.8539094924926758,0.34062278270721436
21,0.8640469908714294,0.0010000000474974513,0.32871562242507935,0.8580247163772583,0.33658963441848755
22,0.8654019832611084,0.0010000000474974513,0.32476723194122314,0.8600823283195496,0.3317614793777466
23,0.8676603436470032,0.0010000000474974513,0.3204789161682129,0.855967104434967,0.32801273465156555
24,0.86946702003479,0.0010000000474974513,0.3165056109428406,0.8580247163772583,0.326776385307312
25,0.8739837408065796,0.0010000000474974513,0.3111571669578552,0.8641975522041321,0.32146403193473816
26,0.8744354248046875,0.0010000000474974513,0.30607864260673523,0.8662551641464233,0.32164478302001953
27,0.8762421011924744,0.0010000000474974513,0.29997551441192627,0.8662551641464233,0.31301331520080566
28,0.8798554539680481,0.0010000000474974513,0.2939610779285431,0.8662551641464233,0.3112128674983978
29,0.8825654983520508,0.0010000000474974513,0.2877439856529236,0.8662551641464233,0.3058948814868927
30,0.8848238587379456,0.0010000000474974513,0.281959593296051,0.8703703880310059,0.29781603813171387
31,0.8848238587379456,0.0010000000474974513,0.2759454548358917,0.8703703880310059,0.2976606488227844
32,0.8866305351257324,0.0010000000474974513,0.2714383006095886,0.8744856119155884,0.2910061478614807
33,0.8893405795097351,0.0010000000474974513,0.26570290327072144,0.8765432238578796,0.2862389087677002
34,0.8929539322853088,0.0010000000474974513,0.2606952488422394,0.8806584477424622,0.2799481153488159
35,0.8956639766693115,0.0010000000474974513,0.25510597229003906,0.8847736716270447,0.27373871207237244
36,0.8970189690589905,0.0010000000474974513,0.2503633201122284,0.8847736716270447,0.2690044641494751
37,0.8988256454467773,0.0010000000474974513,0.24514803290367126,0.895061731338501,0.26180386543273926
38,0.90153568983078,0.0010000000474974513,0.24117383360862732,0.8930041193962097,0.25867342948913574
39,0.9019873738288879,0.0010000000474974513,0.23660790920257568,0.895061731338501,0.25098928809165955
40,0.9051490426063538,0.0010000000474974513,0.2327595204114914,0.8971193432807922,0.24661900103092194
41,0.9065040946006775,0.0010000000474974513,0.22915597259998322,0.8971193432807922,0.24210835993289948
42,0.9083107709884644,0.0010000000474974513,0.22576111555099487,0.8971193432807922,0.23766756057739258
43,0.9092140793800354,0.0010000000474974513,0.22250042855739594,0.9012345671653748,0.23420624434947968
44,0.9096657633781433,0.0010000000474974513,0.21981294453144073,0.903292179107666,0.23056738078594208
45,0.9096657633781433,0.0010000000474974513,0.21732445061206818,0.9053497910499573,0.22780773043632507
46,0.9110207557678223,0.0010000000474974513,0.21458497643470764,0.903292179107666,0.2241113930940628
47,0.9114724397659302,0.0010000000474974513,0.2124226987361908,0.903292179107666,0.22168274223804474
48,0.9119241237640381,0.0010000000474974513,0.21018800139427185,0.903292179107666,0.21821267902851105
