fold,best_epoch,selected_checkpoint_val_loss,evaluation_scope,independent_external_validation_performed,support_original_records,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,log_loss,brier_score,expected_calibration_error,roc_auc_macro_ovr,roc_auc_weighted_ovr
1,58,0.644198477268219,corrected_grouped_internal_validation,False,209,0.8899521531100478,0.8339202214930271,0.8418467695826187,0.8339202214930271,0.8361162045541409,0.8889029188240214,0.3671323280008194,0.1588030391513036,0.06223698580664313,0.9784002257039173,0.9842890775230273
2,85,0.634066104888916,corrected_grouped_internal_validation,False,209,0.9043062200956937,0.8799572976043564,0.9034279340730953,0.8799572976043564,0.8891710782830927,0.9022508585692901,0.35226182436386827,0.1529637359997537,0.04296878564871093,0.9703964472199764,0.9723630163103848
3,67,0.5923657417297363,corrected_grouped_internal_validation,False,209,0.9090909090909091,0.8937976971482128,0.8846639181953273,0.8937976971482128,0.8869584158779074,0.9105786971455814,0.32097775268064394,0.14254349410941555,0.06472466308534436,0.9857641287479344,0.9869312489141058
4,60,0.593372106552124,corrected_grouped_internal_validation,False,208,0.9278846153846154,0.8938213969938108,0.8967143513595126,0.8938213969938108,0.8931359433405468,0.9271927667388026,0.31019112529584103,0.12448704577581528,0.049856801445667606,0.9772036245716118,0.9817948350936571
5,56,0.6915629506111145,corrected_grouped_internal_validation,False,210,0.8761904761904762,0.8344343434343434,0.828892044316771,0.8344343434343434,0.8310908820757332,0.8764708752399096,0.4253001412563906,0.19073505399433913,0.049967306568509035,0.9608341441111152,0.969919397804254
