fold,best_epoch,selected_checkpoint_val_loss,evaluation_scope,independent_external_validation_performed,support_original_records,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,log_loss,brier_score,expected_calibration_error,roc_auc_macro_ovr,roc_auc_weighted_ovr
1,50,0.5662030577659607,corrected_grouped_internal_validation,False,209,0.9282296650717703,0.8848347917236351,0.8882106782106781,0.8848347917236351,0.8851916627404337,0.9280920679982095,0.27889481965458146,0.11814266972722574,0.08139928386827718,0.9863500681281916,0.9917040943169174
2,32,0.650169312953949,corrected_grouped_internal_validation,False,209,0.9090909090909091,0.8836168733227557,0.9134890572390573,0.8836168733227557,0.8973989630945418,0.9084980234900938,0.356584007113034,0.15170833027993566,0.027250190276876037,0.9721457960548869,0.9720831364850503
3,59,0.6668098568916321,corrected_grouped_internal_validation,False,209,0.8851674641148325,0.8696251171508903,0.8578117257395703,0.8696251171508903,0.8619564117332658,0.8848182801053861,0.3812197071662283,0.16941152754317484,0.04490765556787312,0.9820983653998336,0.9826916404545923
4,54,0.5879656076431274,corrected_grouped_internal_validation,False,208,0.9278846153846154,0.9185915119363395,0.9010490139545612,0.9185915119363395,0.908631969158899,0.9285239050080166,0.30743976427257064,0.12105603482790442,0.049874787479142375,0.9731614033114727,0.9751606348665519
5,42,0.6349855065345764,corrected_grouped_internal_validation,False,210,0.9047619047619048,0.8664343434343433,0.8944915688323396,0.8664343434343433,0.8781240860163498,0.9035849620935805,0.34843322685552613,0.1536672322349563,0.061650926730143954,0.9715041540246014,0.9795479466501837
