false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.0,0.010309278350515464,0.9619000527209601
0.0,0.25773195876288657,0.9460709638181833
0.0010548523206751054,0.25773195876288657,0.9459197685587512
0.0010548523206751054,0.5567010309278351,0.9337988587465754
0.002109704641350211,0.5567010309278351,0.9335166759778745
0.002109704641350211,0.6391752577319587,0.9278712453899721
0.0031645569620253164,0.6391752577319587,0.9262798274870467
0.0031645569620253164,0.6494845360824743,0.925440531750907
0.005274261603375527,0.6494845360824743,0.9237869227042751
0.005274261603375527,0.6597938144329897,0.9126132012721999
0.006329113924050633,0.6597938144329897,0.9083373871941153
0.006329113924050633,0.6701030927835051,0.9077109762110633
0.007383966244725738,0.6701030927835051,0.8992734872508397
0.007383966244725738,0.6804123711340206,0.8902495835069412
0.008438818565400843,0.6804123711340206,0.8897030320402122
0.008438818565400843,0.7010309278350515,0.8464409790876547
0.00949367088607595,0.7010309278350515,0.8247154825150451
0.00949367088607595,0.7216494845360825,0.7583527237338978
0.010548523206751054,0.7216494845360825,0.7525882293117395
0.010548523206751054,0.7319587628865979,0.7082222541819009
0.011603375527426161,0.7319587628865979,0.632172248101049
0.011603375527426161,0.7422680412371134,0.6168543445051281
0.012658227848101266,0.7422680412371134,0.6111662744833309
0.012658227848101266,0.7731958762886598,0.5605930319671457
0.013713080168776372,0.7731958762886598,0.5585506800734938
0.013713080168776372,0.7938144329896907,0.5184120709661716
0.014767932489451477,0.7938144329896907,0.49605328399002496
0.014767932489451477,0.8041237113402062,0.49550463615002616
0.015822784810126583,0.8041237113402062,0.4832300163759298
0.015822784810126583,0.8144329896907216,0.4812036663069638
0.016877637130801686,0.8144329896907216,0.46773157725318465
0.016877637130801686,0.8247422680412371,0.39277931023592066
0.017932489451476793,0.8247422680412371,0.39022422999811857
0.017932489451476793,0.8350515463917526,0.3791944256064784
0.020042194092827006,0.8350515463917526,0.36240615978331464
0.020042194092827006,0.8556701030927835,0.3227938985616423
0.027426160337552744,0.8556701030927835,0.1602706867385849
0.027426160337552744,0.865979381443299,0.14785790223094966
0.03164556962025317,0.865979381443299,0.12487634783841021
0.03164556962025317,0.8865979381443299,0.10282518389070755
0.03691983122362869,0.8865979381443299,0.07882635089835355
0.03691983122362869,0.8969072164948454,0.07862468400666067
0.07805907172995781,0.8969072164948454,0.039128953485783664
0.07805907172995781,0.9072164948453608,0.03873406237815739
0.11181434599156118,0.9072164948453608,0.03211288911146257
0.11181434599156118,0.9175257731958762,0.03199697309730182
0.11286919831223628,0.9175257731958762,0.031600791313483
0.11286919831223628,0.9278350515463918,0.031406911899662736
0.12341772151898735,0.9278350515463918,0.029722711882122745
0.12341772151898735,0.9381443298969072,0.0295163103793952
0.2679324894514768,0.9381443298969072,0.020898892969478652
0.2679324894514768,0.9484536082474226,0.020840666664769872
0.2921940928270042,0.9484536082474226,0.020329517138358844
0.2921940928270042,0.9587628865979382,0.02032240234464496
0.31962025316455694,0.9587628865979382,0.01986068422981087
0.31962025316455694,0.9690721649484536,0.019833164215709402
0.38396624472573837,0.9690721649484536,0.01869756387225925
0.38396624472573837,0.979381443298969,0.018688929902658045
0.4409282700421941,0.979381443298969,0.017528515682934457
0.4409282700421941,0.9896907216494846,0.017474139027883584
0.6666666666666666,0.9896907216494846,0.014531747911694624
0.6666666666666666,1.0,0.01452964070752949
1.0,1.0,0.00760734949569437
