false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.0,0.006896551724137931,0.9662890054201112
0.0,0.5862068965517241,0.9382355038405302
0.0011111111111111111,0.5862068965517241,0.9381995437027771
0.0011111111111111111,0.6137931034482759,0.9375256221390045
0.0022222222222222222,0.6137931034482759,0.93726563017226
0.0022222222222222222,0.6551724137931034,0.9353124647404178
0.0033333333333333335,0.6551724137931034,0.9347069276260546
0.0033333333333333335,0.7379310344827587,0.9306090879501776
0.0044444444444444444,0.7379310344827587,0.9303685601826774
0.0044444444444444444,0.7724137931034483,0.9255843077589196
0.006666666666666667,0.7724137931034483,0.924633122268338
0.006666666666666667,0.8275862068965517,0.8864947788620868
0.0077777777777777776,0.8275862068965517,0.8715729701828713
0.0077777777777777776,0.8413793103448276,0.8569283932335582
0.01,0.8413793103448276,0.8432935806162007
0.01,0.8758620689655172,0.7806619231387895
0.011111111111111112,0.8758620689655172,0.7314317008426279
0.011111111111111112,0.8827586206896552,0.7247370317421574
0.012222222222222223,0.8827586206896552,0.6924891755632345
0.012222222222222223,0.8896551724137931,0.6697996333591599
0.013333333333333334,0.8896551724137931,0.6595632323323394
0.013333333333333334,0.896551724137931,0.6491480175940328
0.015555555555555555,0.896551724137931,0.5367755669931649
0.015555555555555555,0.9172413793103448,0.46784044183493484
0.017777777777777778,0.9172413793103448,0.4618139112132594
0.017777777777777778,0.9241379310344827,0.3997012943051659
0.023333333333333334,0.9241379310344827,0.3147583721115579
0.023333333333333334,0.9310344827586207,0.31364085569290395
0.027777777777777776,0.9310344827586207,0.2403107419783664
0.027777777777777776,0.9379310344827586,0.22473245038784892
0.03111111111111111,0.9379310344827586,0.1588849526976063
0.03111111111111111,0.9448275862068966,0.15692752745866334
0.052222222222222225,0.9448275862068966,0.07017375058242821
0.052222222222222225,0.9517241379310345,0.06958606923205865
0.06777777777777778,0.9517241379310345,0.05625571478175267
0.06777777777777778,0.9586206896551724,0.05611861204482403
0.07777777777777778,0.9586206896551724,0.04908449947834015
0.07777777777777778,0.9655172413793104,0.04807457089632482
0.11333333333333333,0.9655172413793104,0.037155108901048374
0.11333333333333333,0.9724137931034482,0.03709923834689245
0.1411111111111111,0.9724137931034482,0.03147184772578251
0.1411111111111111,0.9793103448275862,0.03138009021956289
0.21333333333333335,0.9793103448275862,0.02360298550509807
0.21333333333333335,0.9862068965517241,0.023466201815076655
0.24,0.9862068965517241,0.022062741754233173
0.24,0.993103448275862,0.022034086312293952
0.7211111111111111,0.993103448275862,0.01432720428190244
0.7211111111111111,1.0,0.014313758042473814
1.0,1.0,0.007865475391797798
