precision,recall,threshold
0.11196172248803828,1.0,0.005792679394617961
0.11206896551724138,1.0,0.00612786397917598
0.11217641418983701,1.0,0.006172109125099025
0.11228406909788867,1.0,0.006599248159516433
0.11239193083573487,1.0,0.006600139527392509
0.1125,1.0,0.0067148209245897535
0.1126082771896054,1.0,0.0067191605940168
0.11271676300578035,1.0,0.0069138430121011285
0.1128254580520733,1.0,0.00693733466287709
0.11293436293436293,1.0,0.006985864412876999
0.11304347826086956,1.0,0.007024545841921892
0.11315280464216634,1.0,0.007044253064039015
0.1132623426911907,1.0,0.007109135370577348
0.11337209302325581,1.0,0.00758482861498046
0.11348205625606207,1.0,0.007758878200348013
0.11359223300970873,1.0,0.007812089737830277
0.11370262390670553,1.0,0.00785170358503031
0.11381322957198443,1.0,0.007957044897533771
0.11392405063291139,1.0,0.00797916873497893
0.11403508771929824,1.0,0.008303402923047543
0.11414634146341464,1.0,0.00831763113484108
0.1142578125,1.0,0.008340371485246583
0.11436950146627566,1.0,0.008369644289412222
0.11448140900195694,1.0,0.008492557284463808
0.11459353574926542,1.0,0.00849598969870752
0.11470588235294117,1.0,0.008512928150594234
0.11481844946025516,1.0,0.008596711728001298
0.11493123772102161,1.0,0.008655907981227609
0.11504424778761062,1.0,0.008714762733411863
0.11515748031496063,1.0,0.00873685271920362
0.11527093596059114,1.0,0.008737309303254033
0.11538461538461539,1.0,0.008740344695305314
0.11549851924975321,1.0,0.008770640261368685
0.11561264822134387,1.0,0.008840614608690171
0.11572700296735905,1.0,0.008941105307472814
0.11584158415841585,1.0,0.008942025830213318
0.1159563924677899,1.0,0.008980377953608528
0.11607142857142858,1.0,0.009024882310889937
0.11618669314796425,1.0,0.009053935279969247
0.11630218687872763,1.0,0.00906530511077795
0.11641791044776119,1.0,0.009190721974919354
0.11653386454183266,1.0,0.00935009200223576
0.11665004985044865,1.0,0.00942764384640858
0.11676646706586827,1.0,0.009435128587547172
0.11688311688311688,1.0,0.0095103472033643
0.117,1.0,0.009532745678986536
0.11711711711711711,1.0,0.009627929118743841
0.11723446893787576,1.0,0.009672815965522915
0.11735205616850551,1.0,0.009681793590584948
0.11746987951807229,1.0,0.009724427079490366
0.11758793969849246,1.0,0.009754076363885788
0.11770623742454728,1.0,0.009785571491007962
0.11782477341389729,1.0,0.009788794891157998
0.11794354838709678,1.0,0.009927978276834903
0.11806256306760847,1.0,0.009953059436569163
0.11818181818181818,1.0,0.009996881391661402
0.11830131445904954,1.0,0.010006018904963492
0.11842105263157894,1.0,0.010160605021746719
0.11854103343465046,1.0,0.01026871768496738
