precision,recall,threshold
0.13875598086124402,1.0,0.007865475391797798
0.1388888888888889,1.0,0.008351466595144571
0.13902205177372962,1.0,0.008938624139593343
0.13915547024952016,1.0,0.0091021198268427
0.13928914505283382,1.0,0.00925838034080899
0.13942307692307693,1.0,0.009455378528377524
0.1395572666025024,1.0,0.009485091524435744
0.1396917148362235,1.0,0.009547079115366737
0.1398264223722276,1.0,0.00956863670226354
0.13996138996138996,1.0,0.009779480322373958
0.14009661835748793,1.0,0.009815586247447623
0.1402321083172147,1.0,0.009844626245025771
0.1403678606001936,1.0,0.00985102505964229
0.14050387596899225,1.0,0.009875185251825458
0.14064015518913675,1.0,0.009899307733818963
0.1407766990291262,1.0,0.00991241067713193
0.14091350826044705,1.0,0.009957529044059256
0.14105058365758755,1.0,0.00996529056603354
0.14118792599805258,1.0,0.00997592614932262
0.14132553606237816,1.0,0.010002778498360138
0.14146341463414633,1.0,0.010058544973528885
0.1416015625,1.0,0.01007345328859972
0.14173998044965788,1.0,0.010086857347388345
0.14187866927592954,1.0,0.01010665103713683
0.14201762977473065,1.0,0.010123439413944894
0.14215686274509803,1.0,0.010204328214581905
0.1422963689892051,1.0,0.01025302986590841
0.14243614931237722,1.0,0.01028829028470838
0.14257620452310718,1.0,0.010314248329797404
0.14271653543307086,1.0,0.01032751845759191
0.14285714285714285,1.0,0.010442471946301253
0.14299802761341224,1.0,0.010446782885474373
0.14313919052319843,1.0,0.010453787080662042
0.1432806324110672,1.0,0.010517848125874784
0.1434223541048467,1.0,0.010521913359257012
0.14356435643564355,1.0,0.010577754432790113
0.14370664023785926,1.0,0.010614250084746856
0.14384920634920634,1.0,0.01064783474388697
0.14399205561072492,1.0,0.010696001032113997
0.1441351888667992,1.0,0.010751255737844596
0.14427860696517414,1.0,0.0107897412828527
0.14442231075697212,1.0,0.010822742225932437
0.14456630109670987,1.0,0.010890600464233577
0.14471057884231536,1.0,0.01092368131271625
0.14485514485514486,1.0,0.010934429589445335
0.145,1.0,0.010940017891862665
0.14514514514514515,1.0,0.010981541004871276
0.14529058116232466,1.0,0.011086137126921894
0.14543630892678033,1.0,0.011100478200642956
0.14558232931726908,1.0,0.01113091830457855
0.1457286432160804,1.0,0.011283057367431038
0.14587525150905434,1.0,0.011319067128875968
0.14602215508559918,1.0,0.011480876726846376
0.1461693548387097,1.0,0.011486337391170956
0.14631685166498487,1.0,0.011517748524374411
0.14646464646464646,1.0,0.011578998409799316
0.14661274014155712,1.0,0.011638072893785186
0.14676113360323886,1.0,0.011666372038123178
0.1469098277608916,1.0,0.011782819711025131
0.14705882352941177,1.0,0.011788034765855321
0.14720812182741116,1.0,0.011789526241387882
0.14735772357723578,1.0,0.01181664256628848
0.14750762970498474,1.0,0.011819045378595884
0.14765784114052954,1.0,0.011874747750110404
0.14780835881753313,1.0,0.011887238637712752
0.14795918367346939,1.0,0.0119059594414228
0.1481103166496425,1.0,0.011928710508818788
0.14826175869120656,1.0,0.011931087066127062
0.14841351074718526,1.0,0.011947611179934658
0.14856557377049182,1.0,0.011971310567458126
0.14871794871794872,1.0,0.012005499396396344
0.14887063655030802,1.0,0.012019042194315243
0.14902363823227133,1.0,0.012021440687941592
0.14917695473251028,1.0,0.012023494386626993
0.14933058702368693,1.0,0.012053181428511797
0.14948453608247422,1.0,0.012074513786143512
0.14963880288957687,1.0,0.012097061318789055
0.14979338842975207,1.0,0.012112001803144938
0.1499482936918304,1.0,0.012118084356188774
0.15010351966873706,1.0,0.012146909574130714
0.15025906735751296,1.0,0.012147505745016959
0.1504149377593361,1.0,0.012208179434297464
0.1505711318795431,1.0,0.01220828343543871
0.15072765072765074,1.0,0.01224572458213512
0.15088449531737774,1.0,0.012264230288565159
0.15104166666666666,1.0,0.012280596140766497
0.15119916579770595,1.0,0.012298637107672454
0.151356993736952,1.0,0.012306153335761832
0.15151515151515152,1.0,0.012309319064557872
0.151673640167364,1.0,0.012311903599308198
0.1518324607329843,1.0,0.01233774623652264
0.1519916142557652,1.0,0.012348178900431354
0.1521511017838405,1.0,0.012367458383848935
0.15231092436974789,1.0,0.012381425288822459
0.15247108307045215,1.0,0.012382450744182816
0.15263157894736842,1.0,0.012389901760064307
0.15279241306638566,1.0,0.012418178506077102
0.1529535864978903,1.0,0.012424571451195117
0.15311510031678988,1.0,0.012427117328333185
0.15327695560253699,1.0,0.012471025714570518
0.15343915343915343,1.0,0.012498263700469081
0.15360169491525424,1.0,0.012500510190095165
0.1537645811240721,1.0,0.012508380308336264
0.15392781316348195,1.0,0.012521639652872677
0.15409139213602552,1.0,0.01252843598052153
0.15425531914893617,1.0,0.012530559160425697
0.154419595314164,1.0,0.012535358242107109
0.15458422174840086,1.0,0.01254842222691944
0.15474919957310565,1.0,0.01255116518586874
0.15491452991452992,1.0,0.012553208682963746
0.15508021390374332,1.0,0.012556965825395604
0.15524625267665954,1.0,0.012575077789160206
0.15541264737406216,1.0,0.012582431810723046
0.1555793991416309,1.0,0.01258409272836615
0.15574650912996776,1.0,0.012592009514972753
0.15591397849462366,1.0,0.012627476758011128
0.15608180839612487,1.0,0.012627596945655203
0.15625,1.0,0.012670703221405719
0.15641855447680691,1.0,0.012693830316545859
0.15658747300215983,1.0,0.012696733036062634
0.15675675675675677,1.0,0.012697860326570656
