epoch,accuracy,loss,val_accuracy,val_loss
0,0.2235679179430008,2.069265365600586,NA,NA
1,0.2720130980014801,1.7610256671905518,NA,NA
2,0.3397708535194397,1.606589436531067,NA,NA
3,0.42618659138679504,1.4542652368545532,NA,NA
4,0.4667757749557495,1.355802297592163,NA,NA
5,0.509001612663269,1.313665509223938,NA,NA
6,0.5587561130523682,1.238874912261963,NA,NA
7,0.607201337814331,1.1694695949554443,NA,NA
8,0.6288052201271057,1.1388028860092163,NA,NA
9,0.667103111743927,1.0948303937911987,NA,NA
10,0.683142364025116,1.054599404335022,NA,NA
11,0.7204582691192627,1.003342866897583,NA,NA
12,0.7207856178283691,1.0052937269210815,NA,NA
13,0.7273322343826294,0.9831895232200623,NA,NA
14,0.7653027772903442,0.9217174649238586,NA,NA
15,0.7666121125221252,0.9096171259880066,NA,NA
16,0.8078559637069702,0.8490023612976074,NA,NA
17,0.8229132294654846,0.8367326259613037,NA,NA
18,0.8376432061195374,0.7858383059501648,NA,NA
19,0.8608837723731995,0.7545827031135559,NA,NA
20,0.865793764591217,0.742834746837616,NA,NA
21,0.8837970495223999,0.7013739943504333,NA,NA
22,0.892307698726654,0.6794288754463196,NA,NA
23,0.9004909992218018,0.671805739402771,NA,NA
24,0.9217675924301147,0.6258740425109863,NA,NA
25,0.9198036193847656,0.6340734362602234,NA,NA
26,0.9253682494163513,0.6282365918159485,NA,NA
27,0.9237315654754639,0.6172295212745667,NA,NA
28,0.9168576002120972,0.624529242515564,NA,NA
29,0.9240589141845703,0.6177966594696045,NA,NA
30,0.9446808695793152,0.5769597291946411,NA,NA
31,0.9378068447113037,0.586372971534729,NA,NA
32,0.9407528638839722,0.5769389271736145,NA,NA
33,0.9472994804382324,0.570874035358429,NA,NA
34,0.9414075016975403,0.5722588300704956,NA,NA
35,0.9554828405380249,0.5577566623687744,NA,NA
36,0.9571194648742676,0.5439272522926331,NA,NA
37,0.95220947265625,0.5591782331466675,NA,NA
38,0.957446813583374,0.5508802533149719,NA,NA
39,0.9630114436149597,0.5355293154716492,NA,NA
40,0.9531915187835693,0.5486161708831787,NA,NA
41,0.9538461565971375,0.5490776896476746,NA,NA
42,0.9590834975242615,0.5350773930549622,NA,NA
43,0.9577741622924805,0.5459228754043579,NA,NA
44,0.9725040793418884,0.5111709237098694,NA,NA
45,0.9679214358329773,0.5299831628799438,NA,NA
46,0.9708674550056458,0.5158255696296692,NA,NA
47,0.9705401062965393,0.5190359950065613,NA,NA
48,0.9653027653694153,0.5291103720664978,NA,NA
49,0.9731587767601013,0.5125167965888977,NA,NA
50,0.9679214358329773,0.5195281505584717,NA,NA
51,0.9695581197738647,0.5211177468299866,NA,NA
52,0.980032742023468,0.5027323365211487,NA,NA
53,0.973486065864563,0.5113853216171265,NA,NA
54,0.9770867228507996,0.5032100081443787,NA,NA
55,0.9754500985145569,0.5054726600646973,NA,NA
56,0.9751227498054504,0.5102800130844116,NA,NA
57,0.9757773876190186,0.5019227862358093,NA,NA
58,0.9708674550056458,0.5151020884513855,NA,NA
59,0.9689034223556519,0.5184670686721802,NA,NA
