fold,best_epoch,selected_checkpoint_val_loss,evaluation_scope,independent_external_validation_performed,support_original_records,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,log_loss,brier_score,expected_calibration_error,sensitivity,specificity,roc_auc
1,28,0.1337456852197647,corrected_grouped_internal_validation,False,484,0.9958677685950413,0.9957988299220526,0.9957988299220526,0.9957988299220526,0.9957988299220526,0.9958677685950413,0.039945087926193175,0.011901019747170576,0.025584417531747648,0.995260663507109,0.9963369963369964,0.9991493498602504
2,20,0.14976321160793304,corrected_grouped_internal_validation,False,486,0.9876543209876543,0.9874078040523033,0.9874078040523033,0.9874078040523033,0.9874078040523033,0.9876543209876543,0.05022426375717518,0.020103609240782052,0.014481431212449677,0.9856459330143541,0.9891696750902527,0.9987045065897432
3,44,0.12972740828990936,corrected_grouped_internal_validation,False,483,0.9937888198757764,0.9945054945054945,0.9929577464788732,0.9945054945054945,0.9936914697699933,0.9937936873810655,0.030391320976523774,0.008295325250458386,0.017865412387179053,1.0,0.989010989010989,0.9999476713762429
4,9,0.16216520965099335,corrected_grouped_internal_validation,False,492,0.983739837398374,0.9858657243816255,0.9815668202764978,0.9858657243816255,0.9834418698571357,0.9837759546760998,0.05787087198322624,0.027487804576656304,0.012679386674059955,1.0,0.9717314487632509,0.998004970666306
5,28,0.16624568402767181,corrected_grouped_internal_validation,False,487,0.9856262833675564,0.985034938556332,0.9856200027570996,0.985034938556332,0.985323052150739,0.9856219514930306,0.06945642089589475,0.02758482125878622,0.008083629452006314,0.9808612440191388,0.9892086330935251,0.9940277443117276
