false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.0,0.0009541984732824427,0.9929634808483299
0.0,0.34446564885496184,0.9826962231660296
0.000722543352601156,0.34446564885496184,0.9826944726663132
0.000722543352601156,0.5019083969465649,0.9818145468154346
0.001445086705202312,0.5019083969465649,0.9817944179895867
0.001445086705202312,0.5973282442748091,0.9807738442546015
0.002167630057803468,0.5973282442748091,0.9807632924058981
0.002167630057803468,0.7270992366412213,0.9783067057825647
0.002890173410404624,0.7270992366412213,0.9783044080057235
0.002890173410404624,0.8826335877862596,0.9725444190058653
0.0036127167630057803,0.8826335877862596,0.9723238348960876
0.0036127167630057803,0.9083969465648855,0.9682068950091969
0.004335260115606936,0.9083969465648855,0.9681424842141666
0.004335260115606936,0.9198473282442748,0.9663608002188742
0.0050578034682080926,0.9198473282442748,0.9663468111270682
0.0050578034682080926,0.9646946564885496,0.9319328804602158
0.005780346820809248,0.9646946564885496,0.9316394190245953
0.005780346820809248,0.9732824427480916,0.9131475414887803
0.006502890173410405,0.9732824427480916,0.9106233987397968
0.006502890173410405,0.9770992366412213,0.8968126372927738
0.0072254335260115606,0.9770992366412213,0.8932100864288185
0.0072254335260115606,0.9809160305343512,0.8478520295553816
0.007947976878612716,0.9809160305343512,0.8121857047080994
0.007947976878612716,0.9847328244274809,0.7682356376507499
0.00939306358381503,0.9847328244274809,0.7284351153114369
0.00939306358381503,0.9856870229007634,0.6905948129473571
0.010115606936416185,0.9856870229007634,0.6643225948714436
0.010115606936416185,0.9866412213740458,0.6241765804343397
0.011560693641618497,0.9866412213740458,0.6112377875305541
0.011560693641618497,0.9875954198473282,0.5869772609167475
0.012283236994219654,0.9875954198473282,0.5802158117294312
0.012283236994219654,0.9904580152671756,0.5579299760481722
0.01300578034682081,0.9904580152671756,0.5147867356177191
0.01300578034682081,0.9923664122137404,0.5047041773796082
0.019508670520231215,0.9923664122137404,0.14949607849121094
0.019508670520231215,0.9942748091603053,0.1330081145162514
0.020953757225433526,0.9942748091603053,0.10574594455200269
0.020953757225433526,0.9952290076335878,0.10077888443485733
0.03395953757225433,0.9952290076335878,0.04137459988241643
0.03395953757225433,0.9961832061068703,0.0412363970325753
0.04335260115606936,0.9961832061068703,0.028816717980028154
0.04335260115606936,0.9971374045801527,0.028287226492281405
0.08959537572254335,0.9971374045801527,0.021111788188830412
0.08959537572254335,0.9980916030534351,0.021048977657422755
0.4147398843930636,0.9980916030534351,0.01689271736458329
0.4147398843930636,0.9990458015267175,0.016879300001398288
0.4667630057803468,0.9990458015267175,0.016626607440859743
0.4667630057803468,1.0,0.016622528681494723
1.0,1.0,0.00648261643297675
