false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.0,0.000722543352601156,0.9935173835670232
0.0,0.5332369942196532,0.9833816694367458
0.0009541984732824427,0.5332369942196532,0.9833774713185053
0.0009541984732824427,0.5852601156069365,0.9831228284597254
0.0019083969465648854,0.5852601156069365,0.9831206999986017
0.0019083969465648854,0.9104046242774566,0.9789796794118449
0.0028625954198473282,0.9104046242774566,0.9789510223425772
0.0028625954198473282,0.9566473988439307,0.9718824118139082
0.003816793893129771,0.9566473988439307,0.9717127735077186
0.003816793893129771,0.9660404624277457,0.9644119143486023
0.004770992366412214,0.9660404624277457,0.9587636029674247
0.004770992366412214,0.9790462427745664,0.9116286159947491
0.0057251908396946565,0.9790462427745664,0.8992211155651426
0.0057251908396946565,0.9804913294797688,0.88428985413693
0.007633587786259542,0.9804913294797688,0.8529066824722297
0.007633587786259542,0.9869942196531792,0.5597825050354004
0.009541984732824428,0.9869942196531792,0.4855676446685897
0.009541984732824428,0.9877167630057804,0.48521326438228085
0.012404580152671756,0.9877167630057804,0.42267221212387085
0.012404580152671756,0.9884393063583815,0.41978418827056885
0.013358778625954198,0.9884393063583815,0.41302273908325254
0.013358778625954198,0.9898843930635838,0.3835379709922058
0.01431297709923664,0.9898843930635838,0.37582341956566034
0.01431297709923664,0.990606936416185,0.3356774051285563
0.015267175572519083,0.990606936416185,0.3094051870526429
0.015267175572519083,0.9920520231213873,0.2684589624404907
0.019083969465648856,0.9920520231213873,0.20233775373790036
0.019083969465648856,0.9927745664739884,0.18781429529190063
0.022900763358778626,0.9927745664739884,0.11737301595887495
0.022900763358778626,0.9934971098265896,0.10678991357118149
0.026717557251908396,0.9934971098265896,0.09153495865367291
0.026717557251908396,0.9942196531791907,0.08937660126020316
0.035305343511450385,0.9942196531791907,0.06870323419570923
0.035305343511450385,0.994942196531792,0.06836058097540466
0.08015267175572519,0.994942196531792,0.03376459556729615
0.08015267175572519,0.9956647398843931,0.033653188872931776
0.0916030534351145,0.9956647398843931,0.03210583424883587
0.0916030534351145,0.9963872832369942,0.03185751578583341
0.11736641221374046,0.9963872832369942,0.02768251941790732
0.11736641221374046,0.9971098265895953,0.027676165103912354
0.2729007633587786,0.9971098265895953,0.021715190989660915
0.2729007633587786,0.9978323699421965,0.021695591994276463
0.4026717557251908,0.9978323699421965,0.019247486900575653
0.4026717557251908,0.9985549132947977,0.019236707594101878
0.49809160305343514,0.9985549132947977,0.018207136473778127
0.49809160305343514,0.9992774566473989,0.01820558201041329
0.6555343511450382,0.9992774566473989,0.017306176462038147
0.6555343511450382,1.0,0.01730552733368684
1.0,1.0,0.0070365191516701606
