precision,recall,threshold
0.4309210526315789,1.0,0.00648261643297675
0.4310983134512546,1.0,0.006497411725729045
0.4312757201646091,1.0,0.006681559157282019
0.43145327295183206,1.0,0.0067794761178338004
0.4316309719934102,1.0,0.006792723670039663
0.4318088174701277,1.0,0.006964956170224233
0.4319868095630668,1.0,0.0070143591711412205
0.43216494845360826,1.0,0.0074972990841756
0.43234323432343236,1.0,0.007536679743843068
0.4325216673545192,1.0,0.007546976558375067
0.43270024772914945,1.0,0.00792538010990672
0.432878975629905,1.0,0.008052352305911522
0.43305785123966944,1.0,0.008052901237365491
0.43323687474162875,1.0,0.008150645901311378
0.4334160463192721,1.0,0.008164620224647342
0.4335953661563922,1.0,0.008179591587763671
0.4337748344370861,1.0,0.008207934763328395
0.4339544513457557,1.0,0.00823314290934801
0.43413421706710853,1.0,0.008257669050623563
0.4343141317861583,1.0,0.008281331663603553
0.43449419568822556,1.0,0.008304570515389452
0.4346744089589382,1.0,0.008345923705196821
0.4348547717842324,1.0,0.008406758308410645
0.4350352843503528,1.0,0.00840902420840317
0.43521594684385384,1.0,0.008436012604578718
0.4353967594515995,1.0,0.008437289738506687
0.43557772236076475,1.0,0.008525305898424478
0.4357588357588358,1.0,0.008584705872888513
0.43594009983361065,1.0,0.008693864650035878
0.43612151477320016,1.0,0.00873023508235307
0.4363030807660283,1.0,0.008731635010917121
0.436484798000833,1.0,0.008739579045718433
0.43666666666666665,1.0,0.008740643620632892
0.436848686952897,1.0,0.008769056571937817
0.4370308590492077,1.0,0.008775201389118246
0.43721318314559865,1.0,0.008797189963669173
0.4373956594323873,1.0,0.00883108707023441
0.43757828810020877,1.0,0.008875709192374893
0.4377610693400167,1.0,0.008893201044823964
0.437944003343084,1.0,0.00890731680009785
0.43812709030100333,1.0,0.008907771345783879
0.438310330405688,1.0,0.008942293509787909
0.4384937238493724,1.0,0.008944352515607289
0.43867727082461283,1.0,0.008967172788728946
0.4388609715242881,1.0,0.008999157797535783
0.43904482614160034,1.0,0.009032379350360581
0.4392288348700754,1.0,0.009048844460101053
0.4394129979035639,1.0,0.009119616017485262
0.4395973154362416,1.0,0.009179809702977531
0.43978178766261017,1.0,0.009212476738007805
0.4399664147774979,1.0,0.009222880791137951
0.4401511969760605,1.0,0.009245238991560661
0.4403361344537815,1.0,0.009258731414935025
0.4405212274064733,1.0,0.009329988124314143
0.44070647603027757,1.0,0.009349736272241184
0.44089188052166595,1.0,0.00935589529094022
0.44107744107744107,1.0,0.009366210949291598
0.44126315789473686,1.0,0.00936888762257172
0.44144903117101936,1.0,0.00947452790740052
0.4416350611040877,1.0,0.009480804487490788
0.4418212478920742,1.0,0.009499750819062796
0.4420075917334458,1.0,0.009531426358882843
0.4421940928270042,1.0,0.009583565665337634
0.44238075137188687,1.0,0.009617814355511022
0.44256756756756754,1.0,0.009656759248769634
0.4427545416138572,1.0,0.009657247153884219
0.4429416737109045,1.0,0.009671070820125405
0.4431289640591966,1.0,0.009676537845971112
0.4433164128595601,1.0,0.009688371846573642
0.4435040203131612,1.0,0.00969740719504931
0.4436917866215072,1.0,0.009746076179670915
0.44387971198644643,1.0,0.009760246748480668
0.4440677966101695,1.0,0.009787300218765988
0.44425604069520985,1.0,0.009799647263619503
0.4444444444444444,1.0,0.009812774118384767
0.4446330080610946,1.0,0.009845230985122237
0.44482173174872663,1.0,0.009873028881374854
0.44501061571125267,1.0,0.009885179929907749
0.44519966015293116,1.0,0.009891468514796425
0.445388865278368,1.0,0.00993003179950776
0.445578231292517,1.0,0.009931710872435832
0.44576775840068056,1.0,0.009959627976227466
0.4459574468085106,1.0,0.009983198222900105
0.44614729672200937,1.0,0.009983919010814912
0.4463373083475298,1.0,0.009988676971636594
0.4465274818917767,1.0,0.009991207700566647
0.44671781756180734,1.0,0.010036698302920604
0.44690831556503197,1.0,0.010037025231109414
0.447098976109215,1.0,0.01004220497987051
0.4472897994024755,1.0,0.010063796013614464
0.4474807856532878,1.0,0.010089386968681039
0.4476719350704827,1.0,0.010112553214388207
0.4478632478632479,1.0,0.010119361369413675
0.4480547242411287,1.0,0.010133051077531393
0.4482463644140291,1.0,0.010137213261871612
0.44843816859221225,1.0,0.010144440778448234
0.4486301369863014,1.0,0.010161228086045013
0.4488222698072805,1.0,0.010164576402747117
0.4490145672664953,1.0,0.010165482456520722
0.44920702957565367,1.0,0.010178445847871198
0.44939965694682676,1.0,0.010193719993803911
0.4495924495924496,1.0,0.010194604551771359
0.4497854077253219,1.0,0.010202330403957287
0.44997853155860884,1.0,0.010225904050342037
0.45017182130584193,1.0,0.010257485293995165
0.4503652771809196,1.0,0.010261010263923441
0.45055889939810834,1.0,0.0103224515914917
0.450752688172043,1.0,0.010328196679982434
0.4509466437177281,1.0,0.010331955153448867
0.4511407662505381,1.0,0.010354729658590528
0.45133505598621876,1.0,0.010381978198550235
0.4515295131408876,1.0,0.010403320348312263
0.4517241379310345,1.0,0.010414082362985567
0.45191893057352306,1.0,0.010431368631256054
0.45211389128559104,1.0,0.010432540448785332
0.4523090202848511,1.0,0.010437045518529857
0.4525043177892919,1.0,0.010456423479677079
