epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8292682766914368,0.461296945810318,0.001,0.5720164775848389,0.754421591758728
1,0.9186992049217224,0.30000460147857666,0.001,0.5699588656425476,0.9744368195533752
2,0.9358627200126648,0.27608004212379456,0.001,0.9485596418380737,0.2475948929786682
3,0.956187903881073,0.24108260869979858,0.001,0.9341563582420349,0.29133090376853943
4,0.9656729698181152,0.20910754799842834,0.001,0.9279835224151611,0.2770845293998718
5,0.9643179774284363,0.20972158014774323,0.001,0.9670782089233398,0.19589535892009735
6,0.9733514189720154,0.1972585916519165,0.001,0.9485596418380737,0.21433429419994354
7,0.9733514189720154,0.19607722759246826,0.001,0.9773662686347961,0.18128134310245514
8,0.9792231321334839,0.18535184860229492,0.001,0.9794238805770874,0.16493844985961914
9,0.9792231321334839,0.17910023033618927,0.001,0.9753086566925049,0.16597655415534973
10,0.978771448135376,0.1796972155570984,0.001,0.9753086566925049,0.19862940907478333
11,0.9710930585861206,0.19036716222763062,0.001,0.9176954627037048,0.3120984733104706
12,0.9810298085212708,0.17215631902217865,0.001,0.9773662686347961,0.18097195029258728
13,0.9859982132911682,0.1611696183681488,0.001,0.9650205969810486,0.20134209096431732
14,0.9769647717475891,0.18129584193229675,0.001,0.8909465074539185,0.3611627519130707
15,0.9819331765174866,0.1641516089439392,0.001,0.9897119402885437,0.1526489406824112
16,0.989159882068634,0.15140914916992188,0.001,0.9876543283462524,0.1547176092863083
17,0.9869015216827393,0.16334271430969238,0.001,0.9629629850387573,0.19282668828964233
18,0.9896115660667419,0.15826644003391266,0.001,0.9814814925193787,0.15447723865509033
19,0.9869015216827393,0.16224078834056854,0.001,0.9835391044616699,0.15649329125881195
20,0.9832881689071655,0.1589435636997223,0.001,0.9876543283462524,0.15436026453971863
21,0.9855465292930603,0.16282682120800018,0.001,0.9609053730964661,0.21765393018722534
22,0.9918699264526367,0.14810273051261902,0.001,0.9855967164039612,0.15757432579994202
23,0.9918699264526367,0.14707046747207642,0.001,0.952674925327301,0.24002335965633392
24,0.9900632500648499,0.14810864627361298,0.001,0.9855967164039612,0.15810906887054443
25,0.9923216104507446,0.1479731649160385,0.001,0.9691358208656311,0.1708991378545761
26,0.9900632500648499,0.14903967082500458,0.0003,0.9691358208656311,0.19614194333553314
27,0.9959349632263184,0.13919705152511597,0.0003,0.991769552230835,0.1451743096113205
28,0.9968383312225342,0.13499493896961212,0.0003,0.9897119402885437,0.1477845311164856
29,0.9959349632263184,0.1358509361743927,0.0003,0.9876543283462524,0.14731232821941376
30,0.9990966320037842,0.13147695362567902,0.0003,0.9897119402885437,0.14910201728343964
31,0.9981933236122131,0.13248468935489655,0.0003,0.9897119402885437,0.14806944131851196
32,0.9959349632263184,0.1343008428812027,0.0003,0.991769552230835,0.13966862857341766
33,0.9950315952301025,0.1392609030008316,0.0003,0.9814814925193787,0.16349981725215912
34,0.998645007610321,0.13249903917312622,0.0003,0.9897119402885437,0.14527089893817902
35,1.0,0.1278267204761505,0.0003,0.9876543283462524,0.14928984642028809
36,0.9990966320037842,0.13099896907806396,0.0003,0.9855967164039612,0.15059198439121246
37,0.9990966320037842,0.1302386373281479,0.0003,0.991769552230835,0.14341051876544952
38,0.9981933236122131,0.12983275949954987,0.0003,0.9938271641731262,0.13772791624069214
39,0.9977416396141052,0.13280028104782104,0.0003,0.9835391044616699,0.15789352357387543
40,0.9963866472244263,0.13566455245018005,0.0003,0.9855967164039612,0.16113555431365967
41,0.998645007610321,0.12990368902683258,0.0003,0.9855967164039612,0.1484660655260086
42,0.9968383312225342,0.13406001031398773,0.0003,0.9691358208656311,0.19932933151721954
43,0.9981933236122131,0.13347764313220978,0.0003,0.9835391044616699,0.1584905982017517
44,0.9995483160018921,0.12749627232551575,0.0003,0.9897119402885437,0.14999383687973022
45,1.0,0.12687774002552032,0.0003,0.9876543283462524,0.1491740643978119
46,0.998645007610321,0.13088420033454895,0.0003,0.991769552230835,0.14790067076683044
47,0.9932249188423157,0.14090444147586823,0.0003,0.9753086566925049,0.1892804503440857
48,0.9968383312225342,0.13458594679832458,0.0003,0.991769552230835,0.14357450604438782
49,0.9981933236122131,0.13317742943763733,9e-05,0.9938271641731262,0.14066743850708008
50,0.9990966320037842,0.1275806427001953,9e-05,0.9938271641731262,0.1393539011478424
51,0.998645007610321,0.13065408170223236,9e-05,0.9938271641731262,0.13790260255336761
52,0.998645007610321,0.1309720277786255,9e-05,0.9753086566925049,0.18215836584568024
53,0.998645007610321,0.1285734921693802,9e-05,0.9876543283462524,0.15691350400447845
54,0.9981933236122131,0.13173818588256836,9e-05,0.9938271641731262,0.14044857025146484
55,1.0,0.12791581451892853,9e-05,0.9938271641731262,0.1401258260011673
56,0.9990966320037842,0.12807591259479523,9e-05,0.9938271641731262,0.135707825422287
57,0.9995483160018921,0.12714427709579468,9e-05,0.991769552230835,0.14242151379585266
58,1.0,0.12625180184841156,9e-05,0.9938271641731262,0.13981452584266663
59,0.9995483160018921,0.12784118950366974,9e-05,0.9938271641731262,0.13882964849472046
60,0.9990966320037842,0.12832704186439514,9e-05,0.991769552230835,0.1384439617395401
61,0.9990966320037842,0.1282406896352768,9e-05,0.991769552230835,0.13971920311450958
62,0.9995483160018921,0.127293661236763,9e-05,0.991769552230835,0.14099451899528503
63,1.0,0.12733997404575348,9e-05,0.9897119402885437,0.14087209105491638
64,0.9990966320037842,0.12966373562812805,9e-05,0.9938271641731262,0.14077922701835632
65,0.998645007610321,0.13014522194862366,9e-05,0.9897119402885437,0.1397726982831955
66,0.9995483160018921,0.12731808423995972,9e-05,0.9897119402885437,0.14726470410823822
67,1.0,0.12644067406654358,2.7e-05,0.9897119402885437,0.14349325001239777
68,1.0,0.12657690048217773,2.7e-05,0.9897119402885437,0.14637956023216248
69,1.0,0.12600167095661163,2.7e-05,0.9897119402885437,0.14454257488250732
70,0.9995483160018921,0.12722823023796082,2.7e-05,0.9897119402885437,0.14704529941082
71,0.9995483160018921,0.12727530300617218,2.7e-05,0.991769552230835,0.14114895462989807
72,0.9995483160018921,0.12763740122318268,2.7e-05,0.9938271641731262,0.13957829773426056
73,1.0,0.1261858493089676,2.7e-05,0.9938271641731262,0.1398453563451767
74,1.0,0.12668323516845703,2.7e-05,0.9938271641731262,0.13984033465385437
75,1.0,0.12647956609725952,2.7e-05,0.9938271641731262,0.1393149197101593
76,1.0,0.12625223398208618,2.7e-05,0.9938271641731262,0.14084677398204803
77,1.0,0.12666290998458862,8.1e-06,0.9938271641731262,0.14112438261508942
78,1.0,0.12651605904102325,8.1e-06,0.991769552230835,0.1413608342409134
79,1.0,0.12591992318630219,8.1e-06,0.991769552230835,0.14140738546848297
80,1.0,0.12545379996299744,8.1e-06,0.9938271641731262,0.1409529596567154
81,1.0,0.12579311430454254,8.1e-06,0.9938271641731262,0.14040601253509521
