fold,best_epoch,selected_checkpoint_val_loss,evaluation_scope,independent_external_validation_performed,support_original_records,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,log_loss,brier_score,expected_calibration_error,sensitivity,specificity,roc_auc
1,38,0.13669323921203613,corrected_grouped_internal_validation,False,484,0.993801652892562,0.9939673280905508,0.9934447835738069,0.9939673280905508,0.9937016071312382,0.9938032929870101,0.03860918960472871,0.011071025792194619,0.01623164425211503,0.995260663507109,0.9926739926739927,0.9961807544745933
2,57,0.135707825422287,corrected_grouped_internal_validation,False,486,0.9938271604938271,0.9939975471991432,0.9934265010351967,0.9939975471991432,0.9937075703366751,0.9938289454215458,0.03864528051516277,0.011225934773375024,0.016702396756827574,0.9952153110047847,0.9927797833935018,0.9992572504447861
3,47,0.1353098303079605,corrected_grouped_internal_validation,False,483,0.9958592132505176,0.9963369963369964,0.9952830188679245,0.9963369963369964,0.9957920964594369,0.9958614138010449,0.03496251398483306,0.009597960360951655,0.014777074442640354,1.0,0.9926739926739927,0.9991627420198849
4,20,0.16466562449932098,corrected_grouped_internal_validation,False,492,0.9796747967479674,0.9792043552504777,0.9792043552504777,0.9792043552504777,0.9792043552504777,0.9796747967479674,0.06726161173457035,0.03220404831744761,0.015441152138438718,0.9760765550239234,0.9823321554770318,0.998529088542107
5,28,0.16169951856136322,corrected_grouped_internal_validation,False,487,0.9835728952772074,0.9826425940587242,0.9838250517598344,0.9826425940587242,0.9832161566032533,0.9835628463004763,0.06224374790036089,0.02849757255246294,0.011154141636599824,0.9760765550239234,0.9892086330935251,0.997504388833431
