epoch,accuracy,loss,val_accuracy,val_loss
0,0.2687397599220276,1.9835575819015503,NA,NA
1,0.3914893567562103,1.598121166229248,NA,NA
2,0.47397708892822266,1.406719446182251,NA,NA
3,0.5531914830207825,1.2675639390945435,NA,NA
4,0.6428804993629456,1.1474814414978027,NA,NA
5,0.6985269784927368,1.0472975969314575,NA,NA
6,0.7423895001411438,0.9598098397254944,NA,NA
7,0.7937806844711304,0.8878113627433777,NA,NA
8,0.8242225646972656,0.8322646021842957,NA,NA
9,0.8576104640960693,0.7843204736709595,NA,NA
10,0.8815057277679443,0.7357038259506226,NA,NA
11,0.885761022567749,0.7066037058830261,NA,NA
12,0.9073649644851685,0.6755488514900208,NA,NA
13,0.9145662784576416,0.6504465341567993,NA,NA
14,0.9358428716659546,0.6201115846633911,NA,NA
15,0.9384615421295166,0.5988491177558899,NA,NA
16,0.9502454996109009,0.5772461891174316,NA,NA
17,0.9492635130882263,0.5769022703170776,NA,NA
18,0.9486088156700134,0.5724783539772034,NA,NA
19,0.9603927731513977,0.5534073710441589,NA,NA
20,0.9649754762649536,0.540378749370575,NA,NA
21,0.9711947441101074,0.5262823700904846,NA,NA
22,0.9653027653694153,0.535656213760376,NA,NA
23,0.9672667980194092,0.5380263328552246,NA,NA
24,0.9672667980194092,0.5327944159507751,NA,NA
25,0.9783960580825806,0.5094414353370667,NA,NA
26,0.9823240637779236,0.5042259693145752,NA,NA
27,0.9751227498054504,0.5038993954658508,NA,NA
28,0.9754500985145569,0.5144745707511902,NA,NA
29,0.9767594337463379,0.5100499391555786,NA,NA
30,0.9718494415283203,0.5169396996498108,NA,NA
31,0.977414071559906,0.5030443072319031,NA,NA
32,0.9833060503005981,0.49467816948890686,NA,NA
33,0.9855973720550537,0.4896829128265381,NA,NA
34,0.9823240637779236,0.495670884847641,NA,NA
35,0.9819967150688171,0.49439460039138794,NA,NA
36,0.9836333990097046,0.4905400574207306,NA,NA
37,0.974795401096344,0.5035218596458435,NA,NA
38,0.9875613451004028,0.4788247346878052,NA,NA
39,0.9819967150688171,0.4891183078289032,NA,NA
40,0.9862520694732666,0.4863261580467224,NA,NA
41,0.9891980290412903,0.47769540548324585,NA,NA
42,0.9793780446052551,0.4949663579463959,NA,NA
43,0.9875613451004028,0.4776960015296936,NA,NA
44,0.983960747718811,0.4820918142795563,NA,NA
45,0.9849427342414856,0.4785126745700836,NA,NA
46,0.978723406791687,0.4968688488006592,NA,NA
47,0.9793780446052551,0.49223899841308594,NA,NA
48,0.9872340559959412,0.4734688401222229,NA,NA
49,0.9872340559959412,0.48425164818763733,NA,NA
