epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8937400579452515,0.3401840925216675,0.001,0.49421966075897217,0.9346715807914734
1,0.9524360299110413,0.23151613771915436,0.001,0.9520231485366821,0.22046272456645966
2,0.9609657526016235,0.2167479544878006,0.001,0.8312138915061951,0.6507542729377747
3,0.9686279892921448,0.1972608119249344,0.001,0.6560693383216858,0.7845460176467896
4,0.9755674600601196,0.18630774319171906,0.001,0.9606936573982239,0.21372221410274506
5,0.9738326072692871,0.18335029482841492,0.001,0.9751445055007935,0.17778556048870087
6,0.9761457443237305,0.18340884149074554,0.001,0.7797687649726868,0.7490476369857788
7,0.9767240285873413,0.1792878806591034,0.001,0.9109826683998108,0.31155285239219666
8,0.9720977544784546,0.18881134688854218,0.001,0.9092485308647156,0.32277315855026245
9,0.9838079810142517,0.16388656198978424,0.001,0.9664739966392517,0.20935814082622528
10,0.9840971231460571,0.16437657177448273,0.001,0.95780348777771,0.2045278549194336
11,0.98265141248703,0.16459155082702637,0.001,0.955491304397583,0.23705697059631348
12,0.9846754670143127,0.1598581075668335,0.001,0.9543352723121643,0.22199714183807373
13,0.9846754670143127,0.15981072187423706,0.001,0.9687861204147339,0.1848582923412323
14,0.9861211776733398,0.15362076461315155,0.001,0.48728322982788086,1.6342453956604004
15,0.9851091504096985,0.1591915786266327,0.001,0.8803468346595764,0.39399147033691406
16,0.992337703704834,0.14346349239349365,0.0003,0.9878612756729126,0.14448226988315582
17,0.9926268458366394,0.14076834917068481,0.0003,0.97398841381073,0.1803683638572693
18,0.9919040203094482,0.1422940492630005,0.0003,0.9907514452934265,0.1386376917362213
19,0.9940725564956665,0.1388653963804245,0.0003,0.9774566292762756,0.1711360216140747
20,0.9953737258911133,0.13606007397174835,0.0003,0.9809248447418213,0.1572214961051941
21,0.9959520101547241,0.1351214200258255,0.0003,0.9884393215179443,0.14499883353710175
22,0.9969639778137207,0.13323748111724854,0.0003,0.9861271381378174,0.14702042937278748
23,0.9969639778137207,0.13219325244426727,0.0003,0.9595375657081604,0.23010626435279846
24,0.9976868629455566,0.13184784352779388,0.0003,0.9942196607589722,0.13260483741760254
25,0.9968194365501404,0.13388751447200775,0.0003,0.9890173673629761,0.14202839136123657
26,0.995807409286499,0.13477100431919098,0.0003,0.9820809364318848,0.16563600301742554
27,0.9962411522865295,0.13564914464950562,0.0003,0.9884393215179443,0.14662975072860718
28,0.9956628680229187,0.13440918922424316,0.0003,0.7086704969406128,0.6972725987434387
29,0.9972531199455261,0.13058769702911377,0.0003,0.9930635690689087,0.13477736711502075
30,0.9942171573638916,0.13945014774799347,0.0003,0.9768785834312439,0.17261330783367157
31,0.9942171573638916,0.13682448863983154,0.0003,0.9901733994483948,0.14276421070098877
32,0.9962411522865295,0.13180284202098846,0.0003,0.9901733994483948,0.13892865180969238
33,0.9981205463409424,0.1288873702287674,0.0003,0.9855491518974304,0.15149147808551788
34,0.9991325736045837,0.12734141945838928,0.0003,0.9872832298278809,0.14810679852962494
35,0.9986988306045532,0.1274869590997696,9e-05,0.9913294911384583,0.13604682683944702
36,0.9985542893409729,0.12810473144054413,9e-05,0.9947977066040039,0.13049381971359253
37,0.9984096884727478,0.12885211408138275,9e-05,0.9942196607589722,0.13107523322105408
38,0.9994217157363892,0.12618297338485718,9e-05,0.9953756928443909,0.1299857795238495
39,0.9998553991317749,0.1255728006362915,9e-05,0.9942196607589722,0.13180598616600037
40,1.0,0.12505264580249786,9e-05,0.9953756928443909,0.12895570695400238
41,0.9994217157363892,0.1258043348789215,9e-05,0.9942196607589722,0.13519811630249023
42,0.9992771148681641,0.12583395838737488,9e-05,0.99190753698349,0.1359514594078064
43,1.0,0.12538738548755646,9e-05,0.9930635690689087,0.1329624205827713
44,0.9995662569999695,0.12648124992847443,9e-05,0.9953756928443909,0.12862782180309296
45,0.9998553991317749,0.12503066658973694,9e-05,0.9942196607589722,0.1313256174325943
46,0.9995662569999695,0.12634122371673584,9e-05,0.9907514452934265,0.14112144708633423
47,0.9986988306045532,0.12750022113323212,9e-05,0.9947977066040039,0.1312829703092575
48,1.0,0.12453135848045349,9e-05,0.9947977066040039,0.13170713186264038
49,0.9991325736045837,0.12607866525650024,9e-05,0.9901733994483948,0.14770245552062988
50,0.9989879727363586,0.12661243975162506,9e-05,0.9930635690689087,0.1322793811559677
51,0.9998553991317749,0.12511545419692993,9e-05,0.9947977066040039,0.13130052387714386
52,0.9997108578681946,0.12523189187049866,9e-05,0.992485523223877,0.14000895619392395
53,0.9992771148681641,0.1255221962928772,9e-05,0.9791907668113708,0.17908169329166412
54,0.9994217157363892,0.12598837912082672,9e-05,0.9971098303794861,0.12658239901065826
55,0.9992771148681641,0.12571141123771667,9e-05,0.992485523223877,0.13902458548545837
56,0.9998553991317749,0.124256931245327,9e-05,0.9959537386894226,0.13154101371765137
