epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8673027157783508,0.38981708884239197,0.001,0.4852515757083893,1.1958503723144531
1,0.9389997124671936,0.2620512545108795,0.001,0.957779049873352,0.21649445593357086
2,0.9512864947319031,0.23309165239334106,0.001,0.9641411304473877,0.1989041268825531
3,0.9616941213607788,0.2090458869934082,0.001,0.8316946029663086,0.4236578345298767
4,0.9627059698104858,0.20446018874645233,0.001,0.9421631097793579,0.23333293199539185
5,0.9706562757492065,0.190795436501503,0.001,0.9687680602073669,0.19419705867767334
6,0.9765828251838684,0.18271178007125854,0.001,0.9479467868804932,0.2499043345451355
7,0.9757155179977417,0.18277893960475922,0.001,0.8762290477752686,0.41302981972694397
8,0.9778837561607361,0.1772235631942749,0.001,0.9832273125648499,0.1554696261882782
9,0.9790402054786682,0.1739063262939453,0.001,0.9438982009887695,0.2507123351097107
10,0.9810639023780823,0.17070594429969788,0.001,0.9531521201133728,0.23126453161239624
11,0.9800520539283752,0.1713249385356903,0.001,0.9786003232002258,0.1647745817899704
12,0.9838103652000427,0.1621425300836563,0.001,0.9872758984565735,0.15034885704517365
13,0.9827985167503357,0.16277118027210236,0.001,0.9878542423248291,0.14756488800048828
14,0.9838103652000427,0.16173534095287323,0.001,0.7241179943084717,0.6744959354400635
15,0.9856895208358765,0.15732751786708832,0.001,0.9907460808753967,0.14925263822078705
16,0.9893032908439636,0.15139248967170715,0.001,0.9809138178825378,0.16255852580070496
17,0.9845331311225891,0.15851466357707977,0.001,0.9878542423248291,0.14973127841949463
18,0.9891586899757385,0.15001139044761658,0.001,0.9838056564331055,0.14895106852054596
19,0.9825093746185303,0.16265647113323212,0.001,0.8906882405281067,0.34342148900032043
20,0.9898814558982849,0.1471434384584427,0.001,0.9814922213554382,0.1610032618045807
21,0.9869904518127441,0.15288597345352173,0.001,0.956622302532196,0.22321195900440216
22,0.9875686764717102,0.1527494490146637,0.001,0.9861191511154175,0.15059083700180054
23,0.9901705980300903,0.1488979011774063,0.001,0.9901677370071411,0.14695683121681213
24,0.9887250661849976,0.1492399275302887,0.001,0.9791787266731262,0.16576138138771057
25,0.9911824464797974,0.1458277404308319,0.001,0.969924807548523,0.19033870100975037
26,0.9923388361930847,0.14477747678756714,0.001,0.9884326457977295,0.14384816586971283
27,0.9891586899757385,0.14798244833946228,0.001,0.9595141410827637,0.19959315657615662
28,0.9903151392936707,0.15003494918346405,0.001,0.9890109896659851,0.13922107219696045
29,0.9900259971618652,0.1461794078350067,0.001,0.9901677370071411,0.14238734543323517
30,0.9946516156196594,0.13722853362560272,0.001,0.9866974949836731,0.15112578868865967
31,0.9910378456115723,0.14599163830280304,0.001,0.9768652319908142,0.170646533370018
32,0.9949407577514648,0.13705497980117798,0.001,0.9866974949836731,0.1441398710012436
33,0.9959526062011719,0.13654343783855438,0.001,0.9861191511154175,0.14990365505218506
34,0.9930616021156311,0.14285516738891602,0.001,0.9936379194259644,0.14132775366306305
35,0.9932061433792114,0.14147013425827026,0.001,0.9919028282165527,0.13478104770183563
36,0.9949407577514648,0.1359022855758667,0.001,0.9890109896659851,0.15490347146987915
37,0.9936397671699524,0.13846132159233093,0.001,0.9866974949836731,0.14941242337226868
38,0.9908933043479919,0.14182114601135254,0.001,0.9751301407814026,0.17483532428741455
39,0.9939289093017578,0.13937458395957947,0.001,0.971081554889679,0.19892024993896484
40,0.9903151392936707,0.1446980983018875,0.001,0.9820705652236938,0.15410596132278442
41,0.9911824464797974,0.1468355804681778,0.001,0.971081554889679,0.18889319896697998
42,0.9969644546508789,0.13232022523880005,0.001,0.9953730702400208,0.13137365877628326
43,0.9955189228057861,0.13472548127174377,0.001,0.9947946667671204,0.13056790828704834
44,0.9940734505653381,0.1394316554069519,0.001,0.9809138178825378,0.16408978402614594
45,0.992917001247406,0.13938438892364502,0.001,0.9884326457977295,0.145991712808609
46,0.9976872205734253,0.12981805205345154,0.001,0.9838056564331055,0.15922178328037262
47,0.9982653856277466,0.12932302057743073,0.001,0.9942163228988647,0.13740858435630798
48,0.9953743815422058,0.13545089960098267,0.001,0.9936379194259644,0.13247273862361908
49,0.9885805249214172,0.15037329494953156,0.001,0.7646037936210632,0.7290254831314087
50,0.9916160702705383,0.14143222570419312,0.001,0.9751301407814026,0.18993493914604187
51,0.9953743815422058,0.13514003157615662,0.001,0.9942163228988647,0.1338432878255844
52,0.9966753125190735,0.13184675574302673,0.001,0.9930595755577087,0.1340586245059967
53,0.9965307712554932,0.1318548023700714,0.001,0.9971081614494324,0.1281362771987915
54,0.9939289093017578,0.13850177824497223,0.001,0.9959514141082764,0.12907257676124573
55,0.9943625330924988,0.13507261872291565,0.001,0.9895893335342407,0.1427546590566635
56,0.9975426197052002,0.1303146630525589,0.001,0.9930595755577087,0.13554443418979645
57,0.9955189228057861,0.13346493244171143,0.001,0.9410063624382019,0.25947305560112
58,0.9984099268913269,0.1291225105524063,0.001,0.9624060392379761,0.21828384697437286
59,0.9956634640693665,0.13554680347442627,0.001,0.9797570705413818,0.18022814393043518
60,0.9953743815422058,0.13501526415348053,0.001,0.9936379194259644,0.1312156617641449
61,0.9950852990150452,0.1368783563375473,0.001,0.9861191511154175,0.14880599081516266
62,0.9959526062011719,0.13404227793216705,0.001,0.9953730702400208,0.12994247674942017
63,0.9972535371780396,0.12931454181671143,0.001,0.9953730702400208,0.13023829460144043
64,0.9992772340774536,0.12596465647220612,0.0003,0.996529757976532,0.12497123330831528
65,0.9994217753410339,0.12541933357715607,0.0003,0.9982649087905884,0.12362479418516159
66,0.9998554587364197,0.12454183399677277,0.0003,0.997686505317688,0.12462086230516434
67,0.9998554587364197,0.12440086156129837,0.0003,0.9982649087905884,0.12198350578546524
68,0.9994217753410339,0.12489009648561478,0.0003,0.997686505317688,0.12454155087471008
69,0.9994217753410339,0.12497971951961517,0.0003,0.9982649087905884,0.12354377657175064
70,1.0,0.12389335036277771,0.0003,0.997686505317688,0.12277175486087799
71,1.0,0.12356118857860565,0.0003,0.997686505317688,0.12405917793512344
72,1.0,0.12396112829446793,0.0003,0.9982649087905884,0.12214209139347076
73,0.998988151550293,0.1263197958469391,0.0003,0.9890109896659851,0.15225468575954437
74,0.9988436102867126,0.12656477093696594,0.0003,0.997686505317688,0.12423648685216904
75,0.999566376209259,0.12512335181236267,0.0003,0.9884326457977295,0.1453242003917694
76,0.9994217753410339,0.12509354948997498,0.0003,0.9971081614494324,0.12725943326950073
77,0.9992772340774536,0.12535762786865234,0.0003,0.9548872113227844,0.24300065636634827
