epoch,accuracy,loss,val_accuracy,val_loss
0,0.852601170539856,0.410843163728714,NA,NA
1,0.9277456402778625,0.28174450993537903,NA,NA
2,0.9555636048316956,0.23775526881217957,NA,NA
3,0.96351158618927,0.21010591089725494,NA,NA
4,0.962788999080658,0.20668235421180725,NA,NA
5,0.9696531891822815,0.1989329308271408,NA,NA
6,0.9714595079421997,0.1904047429561615,NA,NA
7,0.9790462255477905,0.17923353612422943,NA,NA
8,0.9772399067878723,0.17933139204978943,NA,NA
9,0.9718208312988281,0.18797996640205383,NA,NA
10,0.9797688126564026,0.17451883852481842,NA,NA
11,0.9794074892997742,0.17486853897571564,NA,NA
12,0.9772399067878723,0.18157215416431427,NA,NA
13,0.9797688126564026,0.17020352184772491,NA,NA
14,0.9859104156494141,0.16357344388961792,NA,NA
15,0.9841040372848511,0.16809575259685516,NA,NA
16,0.9822976589202881,0.17076678574085236,NA,NA
17,0.9920520186424255,0.1496160328388214,NA,NA
18,0.9873554706573486,0.15702545642852783,NA,NA
19,0.9924132823944092,0.1470590978860855,NA,NA
20,0.9851878881454468,0.16097185015678406,NA,NA
21,0.9891618490219116,0.15490342676639557,NA,NA
22,0.9837427735328674,0.16110654175281525,NA,NA
23,0.9902456402778625,0.15280786156654358,NA,NA
24,0.9866329431533813,0.15696308016777039,NA,NA
25,0.9916907548904419,0.14781107008457184,NA,NA
26,0.9851878881454468,0.16076578199863434,NA,NA
27,0.9880780577659607,0.1557268351316452,NA,NA
28,0.9920520186424255,0.142792746424675,NA,NA
29,0.986994206905365,0.15417611598968506,NA,NA
30,0.9924132823944092,0.14277979731559753,NA,NA
31,0.9934971332550049,0.14288797974586487,NA,NA
32,0.9971098303794861,0.136739581823349,NA,NA
33,0.9960260391235352,0.13719114661216736,NA,NA
34,0.9844653010368347,0.15745508670806885,NA,NA
35,0.9956647157669067,0.14014063775539398,NA,NA
36,0.9898843765258789,0.1502346396446228,NA,NA
37,0.9902456402778625,0.14604595303535461,NA,NA
