epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8952122926712036,0.0010000000474974513,0.34890562295913696,0.5699588656425476,0.6901445984840393
1,0.9489611387252808,0.0010000000474974513,0.2454303801059723,0.7674897313117981,0.5311940908432007
2,0.9579945802688599,0.0010000000474974513,0.21868379414081573,0.9176954627037048,0.2826140224933624
3,0.9724480509757996,0.0010000000474974513,0.19549521803855896,0.9588477611541748,0.20170603692531586
4,0.9765130877494812,0.0010000000474974513,0.18612274527549744,0.9753086566925049,0.17013563215732574
5,0.9850948452949524,0.0010000000474974513,0.17315854132175446,0.9650205969810486,0.21705003082752228
6,0.9873532056808472,0.0010000000474974513,0.16376391053199768,0.9773662686347961,0.1712537556886673
7,0.9837398529052734,0.0010000000474974513,0.17114558815956116,0.9753086566925049,0.1777251958847046
8,0.9873532056808472,0.0010000000474974513,0.16209113597869873,0.9855967164039612,0.16061042249202728
9,0.9941282868385315,0.0010000000474974513,0.15240314602851868,0.9732510447502136,0.20675189793109894
10,0.9855465292930603,0.0010000000474974513,0.15878082811832428,0.9794238805770874,0.16968078911304474
11,0.9950315952301025,0.0010000000474974513,0.1451977640390396,0.9814814925193787,0.1690388023853302
12,0.9936766028404236,0.0010000000474974513,0.14734308421611786,0.9835391044616699,0.1606816053390503
13,0.9914182424545288,0.0010000000474974513,0.15223011374473572,0.9773662686347961,0.17693375051021576
14,0.9972899556159973,0.0010000000474974513,0.13880114257335663,0.9814814925193787,0.16123749315738678
15,0.998645007610321,0.0010000000474974513,0.13405576348304749,0.9794238805770874,0.18110772967338562
16,0.9950315952301025,0.0010000000474974513,0.13822084665298462,0.9711934328079224,0.205453023314476
17,0.9859982132911682,0.0010000000474974513,0.1544499397277832,0.9732510447502136,0.1802554875612259
18,0.9950315952301025,0.0010000000474974513,0.1394699662923813,0.9814814925193787,0.1650976538658142
19,0.9959349632263184,0.0003000000142492354,0.13626335561275482,0.9876543283462524,0.14976321160793304
20,0.9981933236122131,0.0003000000142492354,0.132104754447937,0.9876543283462524,0.1609886735677719
21,0.9981933236122131,0.0003000000142492354,0.1326281726360321,0.9835391044616699,0.16347183287143707
22,0.9995483160018921,0.0003000000142492354,0.13036279380321503,0.9835391044616699,0.15954504907131195
23,0.9995483160018921,0.0003000000142492354,0.1296282857656479,0.9835391044616699,0.16122503578662872
24,0.9995483160018921,0.0003000000142492354,0.1284898817539215,0.9835391044616699,0.1621566116809845
25,1.0,0.0003000000142492354,0.12871603667736053,0.9835391044616699,0.1627969592809677
26,1.0,0.0003000000142492354,0.12863661348819733,0.9835391044616699,0.16278205811977386
27,1.0,0.0003000000142492354,0.1288754642009735,0.9835391044616699,0.16350601613521576
28,1.0,0.0003000000142492354,0.12785716354846954,0.9835391044616699,0.16283883154392242
29,1.0,0.0003000000142492354,0.12813539803028107,0.9835391044616699,0.16345104575157166
30,1.0,9.000000136438757e-05,0.12765634059906006,0.9835391044616699,0.16284707188606262
31,1.0,9.000000136438757e-05,0.12776818871498108,0.9835391044616699,0.16366048157215118
32,1.0,9.000000136438757e-05,0.12755225598812103,0.9835391044616699,0.1635814905166626
33,1.0,9.000000136438757e-05,0.12718740105628967,0.9835391044616699,0.16399015486240387
34,1.0,9.000000136438757e-05,0.12806165218353271,0.9835391044616699,0.16407598555088043
35,1.0,9.000000136438757e-05,0.12723536789417267,0.9835391044616699,0.1640414595603943
36,1.0,9.000000136438757e-05,0.12775461375713348,0.9835391044616699,0.16386748850345612
37,1.0,9.000000136438757e-05,0.12744633853435516,0.9835391044616699,0.16399092972278595
38,1.0,9.000000136438757e-05,0.12743650376796722,0.9835391044616699,0.1635165810585022
39,1.0,9.000000136438757e-05,0.12806449830532074,0.9835391044616699,0.16399210691452026
40,1.0,2.700000004551839e-05,0.12715600430965424,0.9835391044616699,0.16403022408485413
41,1.0,2.700000004551839e-05,0.12738992273807526,0.9835391044616699,0.16356566548347473
42,1.0,2.700000004551839e-05,0.12793247401714325,0.9835391044616699,0.1633491814136505
43,1.0,2.700000004551839e-05,0.12794500589370728,0.9835391044616699,0.16346535086631775
44,1.0,2.700000004551839e-05,0.12776528298854828,0.9835391044616699,0.16361969709396362
