epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8215258717536926,0.475864052772522,0.001,0.5873983502388,0.6402492523193359
1,0.922797441482544,0.29112401604652405,0.001,0.5752032399177551,1.1098203659057617
2,0.9336966276168823,0.2789596915245056,0.001,0.8597561120986938,0.36695724725723267
3,0.9445958137512207,0.25186336040496826,0.001,0.9491869807243347,0.22842715680599213
4,0.9600363373756409,0.2240404188632965,0.001,0.9654471278190613,0.19040952622890472
5,0.9582198262214661,0.21687206625938416,0.001,0.934959352016449,0.25056958198547363
6,0.9695731401443481,0.20870879292488098,0.001,0.957317054271698,0.23199161887168884
7,0.9741144180297852,0.19102923572063446,0.001,0.9654471278190613,0.20351392030715942
8,0.9772933721542358,0.1868593692779541,0.001,0.9654471278190613,0.2051844596862793
9,0.9777474999427795,0.18344244360923767,0.001,0.9735772609710693,0.18636301159858704
10,0.9759309887886047,0.1786547601222992,0.001,0.9390243887901306,0.27034932374954224
11,0.9750227332115173,0.18344680964946747,0.001,0.9796748161315918,0.17313791811466217
12,0.9813805818557739,0.17558516561985016,0.001,0.7052845358848572,0.8509419560432434
13,0.9845594763755798,0.16324245929718018,0.001,0.9654471278190613,0.2167380154132843
14,0.982742965221405,0.1671818643808365,0.001,0.977642297744751,0.168840229511261
15,0.9822888374328613,0.16353096067905426,0.001,0.9593495726585388,0.21876609325408936
16,0.9845594763755798,0.16215528547763824,0.001,0.9715447425842285,0.1928342580795288
17,0.9831970930099487,0.1616910696029663,0.001,0.9491869807243347,0.3020648658275604
18,0.9854677319526672,0.16280969977378845,0.001,0.8130081295967102,0.47966721653938293
19,0.9850136041641235,0.16165144741535187,0.001,0.9796748161315918,0.16466562449932098
20,0.9913714528083801,0.14751000702381134,0.001,0.977642297744751,0.18057052791118622
21,0.9895549416542053,0.1507645547389984,0.001,0.9715447425842285,0.20716828107833862
22,0.9850136041641235,0.15914396941661835,0.001,0.9735772609710693,0.17589160799980164
23,0.9868301749229431,0.15723349153995514,0.001,0.9756097793579102,0.17859376966953278
24,0.9836512207984924,0.16392859816551208,0.001,0.8861788511276245,0.38955843448638916
25,0.9886466860771179,0.14891408383846283,0.001,0.957317054271698,0.20938368141651154
26,0.9963669180870056,0.13890357315540314,0.001,0.9817073345184326,0.1724805384874344
27,0.992733895778656,0.14190274477005005,0.001,0.9654471278190613,0.21446377038955688
28,0.990009069442749,0.14987923204898834,0.001,0.9715447425842285,0.18626418709754944
29,0.9950045347213745,0.13919544219970703,0.001,0.977642297744751,0.1801445484161377
30,0.9950045347213745,0.1397923082113266,0.0003,0.9756097793579102,0.1812695860862732
31,0.9968210458755493,0.13455884158611298,0.0003,0.9796748161315918,0.17673084139823914
32,0.9977293610572815,0.13385431468486786,0.0003,0.977642297744751,0.1852797120809555
33,0.9990917444229126,0.12985602021217346,0.0003,0.977642297744751,0.17694681882858276
34,0.9986376166343689,0.12938658893108368,0.0003,0.9796748161315918,0.17554441094398499
35,0.9977293610572815,0.1331426203250885,0.0003,0.9796748161315918,0.1695704311132431
36,0.9981834888458252,0.13347280025482178,0.0003,0.9817073345184326,0.16795600950717926
37,0.9986376166343689,0.12984934449195862,0.0003,0.9837398529052734,0.16774462163448334
38,0.9981834888458252,0.13110525906085968,0.0003,0.9715447425842285,0.19253608584403992
39,0.9981834888458252,0.13039687275886536,0.0003,0.9837398529052734,0.17359061539173126
40,0.9972752332687378,0.13163059949874878,9e-05,0.9817073345184326,0.17131219804286957
41,1.0,0.12721365690231323,9e-05,0.9796748161315918,0.17538373172283173
42,0.9995458722114563,0.12791799008846283,9e-05,0.977642297744751,0.18441762030124664
43,1.0,0.12806306779384613,9e-05,0.977642297744751,0.18047702312469482
44,0.9990917444229126,0.12918239831924438,9e-05,0.977642297744751,0.18302921950817108
